Taxon	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
Eusarsiella phrix	1	1	0	2	0	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	1	0	0	0	?	0	2	2	1	1	1	0	1	0
Eusarsiella pilipollicis	1	1	0	0	0	1	0	1	1	2	$	1	2	2	1	1	1	1	1	1	0	1	0	0	0	2	$	2	1	1	1	0	1	0
Eusarsiella pseudospinosa	1	0	0	0	1	1	0	1	0	1	1	1	2	2	1	1	1	1	1	1	1	0	0	0	?	2	2	2	1	1	1	0	?	?
Eusarsiella punctata	1	1	1	0	1	?	0	0	1	2	2	0	1	1	1	?	1	1	0	1	?	?	0	0	1	1	2	2	1	1	1	0	?	?
Eusarsiella radiicosta	1	1	0	0	1	1	0	0	1	2	2	1	2	2	1	1	1	1	0	1	0	2	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella reticulata	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	2	2	1	1	1	0	1	0
Eusarsiella rudescui	1	1	-	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella ryanae	1	1	0	2	0	1	0	2	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella saengeri	1	1	0	2	0	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	$	2	1	1	1	0	1	0
Eusarsiella segrex	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella serrata	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2	2	1	1	1	0	1	0
Eusarsiella spicata	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	?	1	2	2	0	0	1	1	2	2	1	1	1	0	1	0
Eusarsiella spinosa	1	1	0	0	0	1	0	1	1	1	1	1	2	2	1	1	1	1	1	1	0	2	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella springthorpei	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	2	2	1	1	1	0	1	0
Eusarsiella syrinx	1	1	0	0	0	1	0	1	1	2	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella texana	1	1	0	0	1	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	0	2	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella tryx	1	1	0	2	0	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	2	2	1	1	1	0	1	1
Eusarsiella tubipora	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	2	2	2	1	1	1	0	1	0
Eusarsiella tumida	1	0	1	1	1	?	0	1	1	2	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	2	2	1	1	1	0	1	0
Eusarsiella uncus	1	1	0	0	1	1	0	0	0	1	2	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	2	2	1	1	1	0	1	0
Eusarsiella vema	1	1	0	2	1	1	0	1	1	2	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	2	2	2	1	1	1	0	1	0
Eusarsiella venezuelensis	1	0	0	0	1	1	0	0	1	2	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	2	2	1	1	1	0	1	0
Eusarsiella vernix	1	1	1	2	1	1	0	1	1	2	1	1	2	2	1	1	1	1	0	1	0	0	0	0	0	1	2	2	1	1	1	0	1	0
Junctichela lex	1	0	1	0	1	1	0	1	0	1	1	1	2	2	1	1	1	1	1	1	0	2	0	0	0	2	2	0	0	0	1	0	1	0
Junctichela margalefi	1	0	1	0	1	1	0	1	1	2	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	2	2	0	0	0	1	0	1	0
Junctichela pax	1	1	1	2	1	1	0	1	0	1	2	1	2	2	1	1	1	1	1	1	0	1	0	0	0	2	2	0	0	0	1	0	1	0
Metasarsiella benthedi	1	1	0	0	0	1	0	1	0	1	1	1	2	2	1	1	1	1	0	1	0	2	0	0	0	1	1	2	1	1	1	0	1	0
Metasarsiella caleyi	1	1	0	0	0	1	0	2	1	2	1	1	2	2	1	1	1	1	0	1	0	2	0	0	1	2	1	2	1	1	1	0	1	0
Metasarsiella vibex	1	1	0	0	0	1	0	2	0	1	1	1	2	2	1	1	1	1	0	1	0	2	0	0	1	2	1	2	1	1	1	0	1	0
Neomuelleriella hispida	1	0	0	2	0	1	0	1	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	1	0	2	0	2	1	1	1	1	1	0
Neomuelleriella klomax	1	1	1	2	1	1	0	1	1	2	2	1	2	2	1	0	1	1	1	1	0	1	0	1	0	1	1	2	1	1	1	1	0	1
Neomuelleriella nex	1	1	1	2	2	1	0	2	0	0	2	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	2	1	1	1	1	0	0
Neomuelleriella zealandica	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	2	0	1	0	1	1	1	0	0
Parasarsiella poorei	1	1	1	2	1	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	*	2	1	1	1	0	1	0
Sarsiella anommata	1	1	1	0	0	1	0	0	0	1	1	1	2	2	0	1	1	1	1	1	0	2	1	2	2	2	2	2	1	1	1	0	1	1
Sarsiella armata	1	1	0	0	0	1	0	1	0	1	1	1	2	2	1	1	1	1	?	1	2	2	1	2	2	2	2	2	1	1	1	0	0	0
Sarsiella capsula	1	1	0	1	1	1	0	0	0	1	1	1	2	2	1	1	1	1	1	1	0	2	1	2	2	2	2	2	1	1	1	0	1	0
Sarsiella fadeevi	1	1	0	0	0	1	0	1	1	2	1	1	2	2	?	1	1	1	1	1	1	2	1	2	2	2	2	2	1	1	1	0	?	?
Sarsiella japonica	1	1	0	1	0	1	0	1	0	1	2	1	2	2	1	1	1	1	1	1	0	2	1	2	2	2	2	2	1	1	1	0	1	0
Sarsiella longicornis	1	1	0	0	0	1	0	1	1	2	1	1	2	2	1	1	1	1	?	1	1	2	1	2	2	2	2	2	1	1	1	0	?	?
Sarsiella maculata	1	1	0	0	0	1	0	0	1	2	1	1	2	2	1	1	1	1	1	1	0	2	1	2	2	2	2	2	1	1	1	0	1	0
Sarsiella multispinosa	1	1	0	0	0	1	0	1	1	2	1	1	2	2	1	1	1	1	?	1	2	2	1	2	2	2	2	2	1	1	1	0	1	0
Sarsiella nana	1	1	0	0	0	1	0	1	1	2	1	0	1	1	1	1	1	1	?	1	2	2	1	2	2	?	2	2	1	1	1	0	1	0
Sarsiella oryx	1	1	0	1	1	1	0	0	1	2	1	1	2	2	1	1	1	1	1	1	0	2	1	2	2	2	2	2	1	1	1	0	0	0
Sarsiella parvispinosa	1	1	0	0	0	1	0	1	1	2	1	1	2	2	1	1	1	1	?	1	2	2	1	2	2	2	2	2	1	1	1	0	1	0
Sarsiella pugnax	1	1	0	0	1	1	0	0	1	2	1	1	2	2	1	1	1	1	1	1	0	1	1	2	2	2	$	2	1	1	1	0	0	0
Sarsiella spinulosa	1	1	1	0	0	1	0	1	1	2	1	0	0	1	1	1	1	1	?	1	0	2	1	2	2	2	2	2	1	1	1	0	1	0
Sarsiella striata	1	1	1	0	1	1	0	0	?	?	1	1	2	2	1	1	?	1	1	1	0	2	1	2	2	1	2	2	1	1	1	0	1	0
Sarsiella varix	1	1	0	0	0	1	0	0	1	2	1	1	2	2	1	1	1	1	1	1	0	1	1	2	2	2	2	2	1	1	1	0	0	0
Sarsiella verae	1	1	0	0	0	1	0	0	1	2	1	1	2	2	1	1	1	1	0	1	1	2	1	2	2	2	2	2	1	1	1	0	1	0
Spinacopia antarctica	1	0	0	2	1	0	0	1	0	0	$	0	0	0	1	0	0	1	0	0	1	0	0	0	?	0	0	2	1	1	1	1	1	1
Spinacopia bisetula	1	0	1	2	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	1	1	1	1
Spinacopia crux	1	0	1	1	1	0	0	2	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	2	1	2	1	1	1	1	1	0
Spinacopia illex	1	1	1	1	1	0	0	2	0	0	1	0	$	1	0	0	1	1	1	0	0	0	0	0	0	2	1	2	1	1	1	1	0	0
Spinacopia mastix	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1
Spinacopia menziesi	1	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	2	1	1	1	1	1	1
Spinacopia ningalooi	1	1	1	0	1	0	0	2	1	2	2	1	2	2	1	0	1	1	0	0	0	0	0	0	1	2	1	2	1	1	1	1	1	0
Spinacopia octo	1	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1
Spinacopia rex	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	1	0	2	1	1	1	1	1	1
Spinacopia sandersi	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	1	1	1	1
Spinacopia sandix	1	0	0	1	1	0	0	2	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	1	2	0	2	1	1	1	1	0	0
Spinacopia syrinx	1	0	1	2	1	0	0	2	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	2	1	2	1	1	1	1	1	1
Spinacopia torus	1	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	2	1	1	1	1	1	1
Spinacopia trox	1	1	1	1	1	0	0	2	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	2	0	2	1	1	1	1	1	0
Spinacopia variabilis	1	0	1	2	1	0	0	1	0	0	$	0	0	$	1	0	0	1	0	0	0	0	0	0	0	$	0	2	1	1	1	1	1	1
